Product_id,Review_count,Average_sentiment
106,10,0.9
482,10,0.9
572,10,0.9
814,10,0.9
825,10,0.9
69,10,0.8
76,10,0.8
122,10,0.8
126,10,0.8
142,10,0.8
148,10,0.8
209,10,0.8
218,10,0.8
257,10,0.8
264,10,0.8
287,10,0.8
357,10,0.8
370,10,0.8
375,10,0.8
377,10,0.8
420,10,0.8
440,10,0.8
465,10,0.8
514,10,0.8
555,10,0.8
649,10,0.8
688,10,0.8
692,10,0.8
736,10,0.8
773,10,0.8
803,10,0.8
839,10,0.8
951,10,0.8
971,10,0.8
984,10,0.8
1009,10,0.8
1023,10,0.8
1025,10,0.8
1144,10,0.8
1165,10,0.8
1172,10,0.8
1227,10,0.8
15,10,0.7
42,10,0.7
54,10,0.7
84,10,0.7
118,10,0.7
131,10,0.7
150,10,0.7
158,10,0.7
162,10,0.7
163,10,0.7
180,10,0.7
204,10,0.7
207,10,0.7
223,10,0.7
236,10,0.7
240,10,0.7
255,10,0.7
280,10,0.7
303,10,0.7
308,10,0.7
310,10,0.7
325,10,0.7
339,10,0.7
345,10,0.7
348,10,0.7
352,10,0.7
392,10,0.7
394,10,0.7
437,10,0.7
449,10,0.7
461,10,0.7
475,10,0.7
488,10,0.7
489,10,0.7
495,10,0.7
515,10,0.7
531,10,0.7
544,10,0.7
549,10,0.7
557,10,0.7
562,10,0.7
571,10,0.7
590,10,0.7
599,10,0.7
605,10,0.7
648,10,0.7
653,10,0.7
660,10,0.7
665,10,0.7
671,10,0.7
676,10,0.7
683,10,0.7
684,10,0.7
701,10,0.7
711,10,0.7
714,10,0.7
751,10,0.7
752,10,0.7
757,10,0.7
780,10,0.7
784,10,0.7
801,10,0.7
817,10,0.7
838,10,0.7
851,10,0.7
868,10,0.7
876,10,0.7
892,10,0.7
917,10,0.7
920,10,0.7
942,10,0.7
970,10,0.7
976,10,0.7
996,10,0.7
1015,10,0.7
1020,10,0.7
1048,10,0.7
1062,10,0.7
1079,10,0.7
1090,10,0.7
1121,10,0.7
1135,10,0.7
1155,10,0.7
1194,10,0.7
1210,10,0.7
1218,10,0.7
1223,10,0.7
1230,10,0.7
7,10,0.6
14,10,0.6
17,10,0.6
22,10,0.6
31,10,0.6
44,10,0.6
46,10,0.6
52,10,0.6
53,10,0.6
63,10,0.6
75,10,0.6
86,10,0.6
91,10,0.6
97,10,0.6
115,10,0.6
123,10,0.6
124,10,0.6
128,10,0.6
143,10,0.6
153,10,0.6
160,10,0.6
166,10,0.6
169,10,0.6
182,10,0.6
191,10,0.6
203,10,0.6
206,10,0.6
212,10,0.6
213,10,0.6
214,10,0.6
222,10,0.6
227,10,0.6
239,10,0.6
241,10,0.6
256,10,0.6
258,10,0.6
259,10,0.6
260,10,0.6
265,10,0.6
269,10,0.6
270,10,0.6
284,10,0.6
285,10,0.6
288,10,0.6
295,10,0.6
299,10,0.6
301,10,0.6
309,10,0.6
319,10,0.6
320,10,0.6
321,10,0.6
333,10,0.6
336,10,0.6
351,10,0.6
353,10,0.6
372,10,0.6
374,10,0.6
388,10,0.6
393,10,0.6
406,10,0.6
414,10,0.6
419,10,0.6
436,10,0.6
445,10,0.6
454,10,0.6
456,10,0.6
459,10,0.6
464,10,0.6
469,10,0.6
472,10,0.6
474,10,0.6
493,10,0.6
505,10,0.6
507,10,0.6
523,10,0.6
526,10,0.6
527,10,0.6
528,10,0.6
536,10,0.6
537,10,0.6
538,10,0.6
554,10,0.6
559,10,0.6
561,10,0.6
567,10,0.6
568,10,0.6
569,10,0.6
570,10,0.6
574,10,0.6
575,10,0.6
587,10,0.6
591,10,0.6
592,10,0.6
594,10,0.6
611,10,0.6
614,10,0.6
617,10,0.6
619,10,0.6
622,10,0.6
625,10,0.6
629,10,0.6
631,10,0.6
632,10,0.6
633,10,0.6
636,10,0.6
638,10,0.6
640,10,0.6
641,10,0.6
645,10,0.6
657,10,0.6
658,10,0.6
662,10,0.6
663,10,0.6
666,10,0.6
669,10,0.6
680,10,0.6
686,10,0.6
697,10,0.6
702,10,0.6
706,10,0.6
708,10,0.6
716,10,0.6
727,10,0.6
734,10,0.6
768,10,0.6
789,10,0.6
791,10,0.6
800,10,0.6
805,10,0.6
819,10,0.6
831,10,0.6
859,10,0.6
871,10,0.6
873,10,0.6
879,10,0.6
881,10,0.6
889,10,0.6
891,10,0.6
902,10,0.6
903,10,0.6
904,10,0.6
910,10,0.6
911,10,0.6
929,10,0.6
943,10,0.6
947,10,0.6
948,10,0.6
960,10,0.6
972,10,0.6
982,10,0.6
983,10,0.6
986,10,0.6
989,10,0.6
1000,10,0.6
1008,10,0.6
1010,10,0.6
1018,10,0.6
1035,10,0.6
1037,10,0.6
1051,10,0.6
1052,10,0.6
1060,10,0.6
1074,10,0.6
1078,10,0.6
1086,10,0.6
1094,10,0.6
1096,10,0.6
1105,10,0.6
1107,10,0.6
1108,10,0.6
1109,10,0.6
1115,10,0.6
1129,10,0.6
1132,10,0.6
1138,10,0.6
1156,10,0.6
1157,10,0.6
1170,10,0.6
1171,10,0.6
1176,10,0.6
1184,10,0.6
1191,10,0.6
1192,10,0.6
1203,10,0.6
1204,10,0.6
1212,10,0.6
1222,10,0.6
1228,10,0.6
1,10,0.5
5,10,0.5
20,10,0.5
23,10,0.5
28,10,0.5
30,10,0.5
33,10,0.5
35,10,0.5
39,10,0.5
40,10,0.5
45,10,0.5
49,10,0.5
58,10,0.5
68,10,0.5
73,10,0.5
77,10,0.5
80,10,0.5
83,10,0.5
92,10,0.5
94,10,0.5
95,10,0.5
101,10,0.5
110,10,0.5
113,10,0.5
114,10,0.5
121,10,0.5
145,10,0.5
147,10,0.5
149,10,0.5
155,10,0.5
161,10,0.5
164,10,0.5
168,10,0.5
171,10,0.5
179,10,0.5
183,10,0.5
184,10,0.5
186,10,0.5
189,10,0.5
199,10,0.5
201,10,0.5
202,10,0.5
205,10,0.5
208,10,0.5
210,10,0.5
217,10,0.5
221,10,0.5
224,10,0.5
225,10,0.5
228,10,0.5
232,10,0.5
233,10,0.5
243,10,0.5
247,10,0.5
250,10,0.5
254,10,0.5
262,10,0.5
268,10,0.5
282,10,0.5
283,10,0.5
286,10,0.5
289,10,0.5
300,10,0.5
305,10,0.5
306,10,0.5
307,10,0.5
312,10,0.5
314,10,0.5
317,10,0.5
331,10,0.5
334,10,0.5
335,10,0.5
337,10,0.5
340,10,0.5
344,10,0.5
364,10,0.5
367,10,0.5
368,10,0.5
373,10,0.5
384,10,0.5
385,10,0.5
386,10,0.5
398,10,0.5
401,10,0.5
402,10,0.5
404,10,0.5
411,10,0.5
421,10,0.5
422,10,0.5
423,10,0.5
431,10,0.5
433,10,0.5
442,10,0.5
444,10,0.5
450,10,0.5
470,10,0.5
480,10,0.5
486,10,0.5
490,10,0.5
496,10,0.5
499,10,0.5
511,10,0.5
513,10,0.5
518,10,0.5
522,10,0.5
529,10,0.5
532,10,0.5
535,10,0.5
542,10,0.5
550,10,0.5
551,10,0.5
581,10,0.5
584,10,0.5
589,10,0.5
596,10,0.5
604,10,0.5
607,10,0.5
621,10,0.5
628,10,0.5
635,10,0.5
643,10,0.5
654,10,0.5
655,10,0.5
659,10,0.5
674,10,0.5
678,10,0.5
690,10,0.5
691,10,0.5
698,10,0.5
703,10,0.5
720,10,0.5
725,10,0.5
726,10,0.5
740,10,0.5
743,10,0.5
748,10,0.5
758,10,0.5
761,10,0.5
763,10,0.5
765,10,0.5
766,10,0.5
777,10,0.5
785,10,0.5
798,10,0.5
811,10,0.5
813,10,0.5
820,10,0.5
822,10,0.5
828,10,0.5
836,10,0.5
860,10,0.5
862,10,0.5
863,10,0.5
867,10,0.5
872,10,0.5
874,10,0.5
875,10,0.5
877,10,0.5
883,10,0.5
893,10,0.5
906,10,0.5
916,10,0.5
923,10,0.5
928,10,0.5
949,10,0.5
952,10,0.5
954,10,0.5
974,10,0.5
